city,country,latitude,longitude,max temperature,cloudiness (%),humidity (%),wind speed (mph),date
boyolali,US,42.4331,-82.9241,46.4,40,66,8.05,1620484580
albany,DE,47.8739,12.1695,64,80,42,1.99,1620484581
labunista,PH,7.0708,122.1583,78.33,100,86,5.26,1620484581
toki,GQ,1.574,9.6134,79.75,100,76,5.55,1620484581
betania,US,25.7743,-80.1937,82.4,75,57,12.66,1620484341
hagdan,LV,57.8975,25.3316,47.41,96,42,11.81,1620484582
haibara,US,38.5084,-90.3229,53.01,90,54,9.22,1620484627
harper woods,RU,57.1412,43.1589,52,100,62,12.82,1620484627
fussen,DK,55.4858,12.0817,55.99,40,54,13.8,1620484628
lamisahan,NZ,-39,175.9333,57,100,94,1.01,1620484628
mbini,CH,47.4317,8.5759,70,0,37,8.05,1620484628
miami,TR,36.7575,36.2158,80.6,0,54,20.71,1620484629
rujiena,RU,59.2002,38.8356,44.6,90,93,4.47,1620484629
mehlville,US,40.6084,-75.4902,52,75,71,10.36,1620484630
sokolskoye,ZA,-25.7751,29.4648,69.03,99,25,14.52,1620484630
ejby,PH,8.452,123.0222,78.35,100,87,5.66,1620484631
turangi,PT,37.1372,-8.1582,69.8,0,56,9.22,1620484631
opfikon,TH,15.75,104.1333,84.2,20,74,14.47,1620484631
payas,KZ,51.1801,71.446,62.6,40,77,8.95,1620484632
ixtiyucan,RU,61.0455,28.9294,46,100,77,5.01,1620484632
chebsara,RO,44.9667,27.0833,59.56,99,47,3.78,1620484632
jaltipan,RU,60.1022,30.2131,41,100,92,8.01,1620484633
allentown,CM,2.9333,11.9833,68.72,100,97,3.91,1620484633
houlung,MG,-14.2667,50.1667,77.63,34,77,12.93,1620484634
middelburg,IT,40.1751,18.0297,71.6,0,53,19.57,1620484634
ponot,MX,15.7667,-92.2667,81.73,98,51,2.98,1620484635
boliqueime,ET,6.9667,37.8667,61.77,82,91,0.11,1620484635
yasothon,PY,-25.9667,-57.2667,67.35,0,41,5.41,1620484636
astana,CA,46.4334,-74.9826,50,100,62,3.44,1620484494
lesogorskiy,HU,47.7064,19.6331,64,0,31,10.36,1620484636
luciu,MX,20.3,-103.2,69.01,90,55,1.99,1620484636
levashovo,IN,22.15,82.4833,88.18,47,33,7.14,1620484637
sangmelima,US,33.7456,-117.8678,62.6,90,59,8.05,1620484466
sambava,RU,55.9803,37.135,48.2,75,93,8.95,1620484638
nardo,MX,19.9833,-97.7333,74.16,52,63,5.77,1620484638
chicomuselo,AU,-34.5667,146.4,55.4,75,76,8.05,1620484638
boditi,GB,52.5736,-0.2478,57.2,75,94,19.57,1620484638
quiindy,AT,47.1833,14.75,60.8,40,31,9.22,1620484639
laurentides,PT,39.8457,-8.8233,75.99,20,49,9.22,1620484639
hered,RU,71.6872,128.8694,24.28,100,90,4.12,1620484639
chapala,IN,19.3167,77.1667,95.65,53,28,4.88,1620484640
baloda,RO,47.1667,26.9833,55.4,0,47,27.63,1620484640
santa ana,AM,40.4975,44.7662,77,43,22,5.75,1620484640
andreyevka,IT,45.525,11.6123,68,96,40,1.01,1620484641
zongozotla,MX,18.4669,-96.945,69.48,29,48,3.31,1620484641
leeton,IN,25.4167,86.1333,83.86,31,52,12.75,1620484641
peterborough,AL,40.1514,20.5972,82.4,12,28,12.66,1620484642
zeltweg,UA,46.0197,29.6657,56.7,100,46,17.45,1620484642
souto da carpalhosa,SZ,-26.4833,31.3333,78.8,40,47,12.66,1620484642
cubulero,DE,51.8667,10.0333,59,100,40,4,1620484643
tiksi,IN,30.95,77.5833,51.89,45,72,2.98,1620484643
basmat,BR,-22.5267,-43.7328,69.8,75,83,3.44,1620484643
strunga,RO,45.5667,27.65,59.74,51,40,15.99,1620484643
hrazdan,BE,49.6833,5.8167,62.01,100,64,4,1620484644
torri di quartesolo,PH,7.6089,125.1163,73.99,100,96,0.94,1620484644
chiapa,US,41.7992,-85.4192,48,1,53,13.8,1620484687
begusarai,CH,46.5024,6.6865,66,71,55,1.01,1620484688
leskovik,MX,19.2333,-99.6167,55.4,20,67,3.44,1620484688
sarata,PH,15.3274,120.9485,84.2,75,74,4.61,1620484689
kwaluseni,PH,13.1393,123.2916,79.38,100,85,5.99,1620484689
bad gandersheim,GR,37.9795,23.7162,82,0,49,10.6,1620484491
chaupal,US,39.2421,-76.448,48,75,100,5.75,1620484689
mendes,US,41.885,-87.7845,50,40,57,4.74,1620484479
tudor vladimirescu,AT,47.2167,14.8167,60.8,40,31,9.22,1620484690
arlon,RO,44.15,24.4333,66.2,0,18,18.41,1620484690
puntian,IN,23.3167,88.65,87.73,3,52,13.94,1620484691
sturgis,PH,8.4333,124.8333,78.01,98,91,1.86,1620484691
lutry,ES,41.9406,-1.3245,91,100,34,23.02,1620484691
akhinos,IN,22.8747,88.7586,90,20,62,14.23,1620484692
ocotitlan,PK,32.2065,72.9537,90.03,33,26,5.97,1620484692
